,0
807,14.5
808,44.75
809,34.25
810,39.75
811,57.75
812,32.5
813,52.5
814,4.5
815,16.5
816,18.5
817,32.0
818,26.25
819,53.0
820,22.75
821,37.5
822,6.5
823,34.25
824,9.25
825,12.25
826,8.5
827,11.0
828,12.25
829,34.25
830,20.5
831,25.5
832,28.0
833,23.5
834,29.5
835,14.75
836,20.0
837,23.0
838,16.0
839,19.0
840,20.0
841,1.5
842,10.25
843,20.5
844,14.5
845,13.0
846,61.25
847,15.5
848,11.75
849,11.75
850,36.0
851,44.75
852,27.25
853,19.5
854,11.75
855,1.25
856,19.0
857,18.75
858,10.5
859,32.5
860,22.5
861,2.0
862,19.0
863,19.5
864,18.0
865,35.5
866,7.75
867,44.0
868,6.0
869,22.5
870,3.0
871,40.75
872,12.5
873,15.25
874,22.25
875,67.5
876,56.5
877,19.0
878,41.25
879,13.5
880,26.0
881,33.0
882,19.0
883,11.0
884,19.0
885,14.5
886,14.0
887,16.0
888,8.25
889,9.5
890,15.5
891,4.5
892,2.0
893,11.75
894,13.0
895,53.0
896,29.75
897,25.25
898,34.25
899,21.0
900,17.0
901,24.0
902,6.75
903,30.25
904,20.5
905,9.25
906,0.0
907,1.5
908,47.25
909,37.5
910,25.25
911,10.5
912,17.25
913,34.0
914,37.75
915,9.25
916,36.0
917,22.5
918,33.0
919,5.0
920,22.25
921,56.75
922,7.0
923,15.5
924,58.5
925,15.75
926,15.0
927,0.75
928,41.5
929,66.25
930,10.5
931,21.5
932,25.25
933,0.75
934,1.5
935,22.5
936,28.25
937,22.75
938,13.0
939,18.5
940,23.25
941,20.0
942,2.75
943,26.25
944,15.25
945,-0.5
946,32.5
947,16.5
948,42.0
949,2.0
950,46.0
951,15.75
952,63.25
953,7.5
954,29.0
955,13.25
956,35.5
957,2.25
958,15.75
959,64.75
960,9.0
961,17.0
962,25.5
963,53.0
964,25.75
965,36.25
966,8.25
967,17.75
968,13.25
969,0.0
970,25.5
971,14.0
972,26.25
973,43.5
974,18.5
975,42.5
976,12.0
977,30.75
978,22.25
979,34.0
980,9.75
981,29.75
982,9.25
983,39.75
984,56.25
985,19.25
986,9.25
987,18.5
988,38.5
989,54.25
990,23.5
991,9.0
992,1.0
993,24.25
994,11.5
995,1.5
996,7.0
997,26.25
998,29.0
999,12.75
1000,14.25
1001,16.75
1002,34.25
1003,4.25
1004,37.75
1005,44.75
1006,20.75
1007,36.0
1008,20.25
1009,24.75
1010,59.5
1011,24.0
1012,6.25
1013,3.5
1014,29.5
1015,7.5
1016,18.75
1017,8.0
1018,17.5
1019,22.0
1020,25.25
1021,11.0
1022,32.0
1023,38.0
1024,38.5
1025,18.0
1026,22.0
1027,67.25
1028,31.5
1029,9.5
1030,45.75
1031,6.75
1032,19.25
1033,10.5
1034,10.0
1035,28.25
1036,16.5
1037,23.0
1038,5.75
1039,2.0
1040,16.75
1041,45.0
1042,18.25
1043,4.5
1044,12.5
1045,53.0
1046,43.25
1047,33.75
1048,64.0
1049,13.5
1050,26.5
1051,52.0
1052,9.5
1053,8.75
1054,12.25
1055,4.25
1056,21.75
1057,32.25
1058,13.25
1059,50.25
1060,23.75
1061,15.75
1062,34.0
1063,5.5
1064,30.25
1065,28.75
1066,17.5
1067,26.75
1068,43.5
1069,43.5
1070,32.0
1071,36.75
1072,14.5
1073,11.5
1074,13.75
1075,15.0
1076,18.25
1077,26.0
1078,14.0
1079,18.75
1080,10.25
1081,34.75
1082,18.75
1083,12.75
1084,3.5
1085,7.75
1086,12.5
1087,21.0
1088,47.5
1089,15.0
1090,0.0
1091,25.75
1092,30.25
1093,49.75
1094,3.5
1095,0.0
1096,10.0
1097,44.75
1098,9.25
1099,42.0
1100,5.75
1101,25.0
1102,19.5
1103,17.0
1104,25.75
1105,27.25
1106,16.25
1107,14.0
1108,24.0
1109,13.5
1110,9.75
1111,37.25
1112,13.75
1113,23.25
1114,7.0
1115,10.25
1116,7.5
1117,45.25
1118,13.5
1119,35.0
1120,64.25
1121,31.5
1122,12.0
1123,22.5
1124,17.0
1125,18.75
1126,14.0
1127,37.0
1128,7.0
1129,20.5
1130,7.75
1131,17.5
1132,10.75
1133,28.5
1134,10.5
1135,0.0
1136,18.25
1137,19.75
1138,12.5
1139,3.5
1140,13.5
1141,23.5
1142,23.75
1143,2.75
1144,35.25
1145,41.5
1146,25.5
1147,23.25
1148,14.25
1149,39.5
1150,4.75
1151,48.25
1152,31.5
1153,31.75
1154,43.75
1155,10.75
1156,9.0
1157,1.25
1158,1.25
1159,43.5
1160,14.75
1161,21.0
1162,25.75
1163,22.0
1164,42.25
1165,10.0
1166,12.25
1167,12.25
1168,20.25
1169,31.0
1170,41.0
1171,19.0
1172,1.25
1173,13.5
1174,44.75
1175,7.75
1176,15.5
1177,15.0
1178,10.0
1179,37.25
1180,11.75
1181,16.25
1182,37.25
1183,53.5
1184,21.75
1185,2.0
1186,23.25
1187,49.0
1188,11.0
1189,16.5
1190,19.75
1191,22.0
1192,30.0
1193,25.0
1194,19.25
1195,22.0
1196,12.25
1197,20.0
1198,5.25
1199,16.75
1200,5.75
1201,4.25
1202,13.75
1203,15.25
1204,11.5
1205,14.25
1206,46.25
1207,26.75
1208,15.25
1209,11.75
1210,16.0
1211,12.25
1212,24.75
1213,29.25
1214,15.5
1215,33.75
1216,14.0
1217,0.0
1218,36.75
1219,8.0
1220,24.5
1221,18.5
1222,17.5
1223,6.0
1224,34.5
1225,26.0
1226,30.5
1227,11.25
1228,20.75
1229,0.25
1230,38.5
1231,12.75
1232,20.25
1233,28.25
1234,13.75
1235,15.25
1236,42.75
1237,2.75
1238,21.0
1239,36.0
1240,48.5
1241,26.0
1242,20.75
1243,39.0
1244,29.5
1245,0.0
1246,40.5
1247,11.0
1248,5.5
1249,33.5
1250,23.75
1251,27.0
1252,28.25
1253,1.5
1254,49.0
1255,50.5
1256,6.0
1257,25.75
1258,17.25
1259,35.25
1260,21.0
1261,60.5
1262,16.5
1263,7.5
1264,17.5
1265,23.5
1266,23.0
1267,0.0
1268,0.0
1269,19.25
1270,19.75
1271,10.25
1272,11.5
1273,19.5
1274,26.0
1275,36.75
1276,21.5
1277,38.75
1278,36.25
1279,13.5
1280,38.5
1281,43.25
1282,10.25
1283,5.0
1284,23.25
1285,0.0
1286,25.75
1287,18.5
1288,1.5
1289,37.5
1290,47.75
1291,17.5
1292,11.0
1293,8.5
1294,9.0
1295,17.5
1296,0.0
1297,7.25
1298,17.75
1299,28.25
1300,1.25
1301,28.5
1302,19.75
1303,26.25
1304,27.75
1305,23.5
1306,14.25
1307,11.0
1308,20.5
1309,4.25
1310,27.75
1311,21.5
1312,26.0
1313,25.5
1314,16.0
1315,3.5
1316,0.0
1317,40.25
1318,13.5
1319,29.25
1320,18.0
1321,21.0
1322,43.75
1323,19.0
1324,19.0
1325,11.25
1326,27.0
1327,11.0
1328,31.25
1329,31.25
1330,27.75
1331,24.5
1332,21.0
1333,35.0
1334,2.25
